id,title,abstract,content,s_content,t_content,img,lasttime,ref,click,share,good,edittime,tag,items,lemmaID,editor_goodVersionCount,editor_commitPassedCount,editor_level,editor_featuredLemmaCount,editor_createPassedCount,editor_commitTotalCount,editor_experience,editor_passRatio,flag
1503,孛儿只斤·铁木真,399,19406,9,21,15,2018-08-11,84,11795807,806,4103,379,2,25,8180423,581.56,180994,7,194.12,2390.12,207684,56531.8,85.12,1
1508,萧亚轩,356,3832,6,10,30,2018-10-10,70,13617582,223,24509,1093,5,2,110856,105.6,344246,9,106.56,3041.28,397194,26372.6,90.56,1
1510,百慕大三角,159,14294,7,21,9,2018-06-11,28,9787537,1470,27340,301,1,5,1076,47.16,363483,5.12,37.24,3172.48,416408,12600.2,85.04,1
1513,灵隐寺,327,9471,8,13,11,2018-08-08,27,4153223,560,4091,229,2,4,110918,62.8,256558,8.76,64.96,7721.96,284544,171843000,91.96,1
1534,围棋,342,13162,9,14,8,2018-09-25,10,8167107,565,8711,585,9,3,111288,0,507463,2.88,0.12,4258.6,586241,-2756.32,79.04,1
1554,日本,582,20289,14,49,30,2018-09-01,116,32431659,3085,65706,1456,3,5,111617,65.92,512112,5.96,66.52,4736.2,591061,14888.1,83.72,1
1563,清华大学,627,19933,7,21,30,2018-10-13,23,18112704,1122,23335,1041,11,1,111764,69.2,352837,8.04,68.92,4133.64,405661,32768.6,91.6,1
1565,复旦大学,644,17254,6,17,17,2018-10-13,57,10273219,593,12053,744,13,1,111790,14.4,523238,6.72,9.76,6215.96,602463,26042.5,87,1
1577,孙燕姿,563,7423,7,8,30,2018-07-30,88,10754200,2647,34178,1347,3,2,111957,29.76,183330,7.04,28.16,8971.96,209858,14844.4,92.36,1
1588,郑智薰,747,10921,7,13,0,2018-09-13,190,26529371,41377,206570,415,5,18,112148,59.84,176901,8.36,55.92,2182.84,203271,19637,97.48,1
1591,腾讯,397,16281,7,15,14,2018-10-04,151,13084339,1970,24469,1158,4,1,112204,28.64,29835,10.28,23.8,9834.64,30323,63792,98.32,1
1600,凤凰古城,306,10919,8,14,26,2018-08-27,34,14661653,888,5468,601,1,3,8138,9,175100,5.24,7.88,2377.96,201555,8292.4,91.88,1
1602,花溪区,245,6564,13,13,9,2018-10-10,24,411183,16,210,69,1,3,7649490,79.32,415933,6.36,17.2,6289.68,470008,171817000,78.8,1
1603,花溪公园,290,9536,6,28,5,2018-09-17,31,261996,45,590,61,3,1,112398,40.92,712935,6.8,11.48,11189.7,795709,515406000,74,1
1605,黄果树风景名胜区,291,4947,7,9,9,2018-09-21,18,1183393,96,310,44,1,3,7420939,39.52,314961,7.24,31.32,7488.64,344044,343621000,89.52,1
1607,遵义会议会址,293,4135,7,0,14,2018-06-11,25,509960,49,692,84,2,1,415831,30.12,575387,6.16,25.84,9400.52,632656,515409000,82.48,1
1631,八角,238,18991,8,14,10,2018-09-12,6,1201306,449,2661,121,1,5,24736,24.52,509162,5,12.92,4572.6,588071,4743.44,76.48,1
1642,茶馆,380,6733,7,2,2,2018-07-19,17,2378710,215,2939,38,1,7,4959517,470.2,172231,4.84,128.36,1930.4,198595,29423.6,83.12,1
1646,屈原,458,15707,10,26,20,2018-08-13,41,18293447,2192,29916,882,2,9,6109,3506.4,348936,7.16,722.16,6831.24,401548,171812,87.4,1
1648,迈克尔·乔丹,703,7692,6,16,8,2018-10-05,34,21285731,2014,35663,690,5,6,21768,21.12,348380,6,16.72,3354.92,401240,9764.56,86.48,1
1649,倭蜂猴,410,1883,9,6,5,2018-06-11,12,84763,44,253,35,3,1,113154,89.56,746117,6.04,60.36,8132.96,852552,171813000,81.76,1
1654,龙舌兰酒,123,3738,8,4,10,2018-09-17,2,3052472,187,1677,104,2,1,113252,41.04,518327,5.56,31.2,4691.8,597499,9611.52,82.76,1
1655,谭嗣同,204,5690,7,17,6,2018-06-11,20,2393626,623,4738,212,1,4,21765,73.56,344541,6.28,61.44,2916.12,397160,18011.9,87.76,1
1657,康有为,529,19378,9,26,15,2018-09-17,72,4881532,11404,19561,316,5,1,113297,70.64,344822,5.68,72.28,2983.32,397546,19944.7,89.6,1
1662,拉卜楞寺,355,12666,8,9,14,2018-09-17,12,1053469,1604,3459,80,1,1,113379,119.76,658164,7.64,77.68,9390.44,739960,343630000,89.48,1
1663,布达拉宫,591,15804,9,16,24,2018-09-17,18,6002894,927,10735,321,2,3,113399,38.16,719522,6.2,26.4,10918.8,802431,515406000,81.48,1
1675,青海湖,165,6516,7,18,10,2018-06-11,20,8909403,764,4736,258,4,4,113605,58.72,624264,7.08,40.88,11779.1,682225,687213000,84.84,1
1676,雷雨,339,6930,8,2,4,2018-07-03,17,4482118,392,4837,106,3,33,2411327,162.12,191075,6.52,149.6,1924.88,217827,42315.5,86.08,1
1678,冯小刚,676,4869,7,10,21,2018-06-11,143,15034125,230,6928,510,5,1,113653,90.08,349918,8.08,86.6,4340,402841,41801.3,86.92,1
1679,张飞,413,5783,7,12,6,2018-10-09,33,7864938,1651,20386,473,0,24,3622,0,338239,2.12,0.08,2839,390773,-1846.56,79.72,1
1690,朱元璋,612,20054,11,32,26,2018-10-08,251,17310534,1425,15691,942,6,8,25626,11.72,507978,2.2,12.52,4281.4,586790,353.8,63.88,1
1702,莎朗·斯通,335,2066,7,2,30,2018-09-04,17,2818076,68,3959,113,3,1,4924594,218.4,778416,8.56,209.08,12991.2,862494,687240000,88.84,1
1703,凯瑟琳·泽塔-琼斯,523,2532,6,2,30,2018-09-04,26,2967768,125,2468,123,3,1,4299635,193.8,651122,7.6,186.04,9093.36,732697,343640000,88.64,1
1709,AC米兰足球俱乐部,499,20510,9,18,19,2018-08-24,11,2857932,135,5221,485,4,1,6580300,37.12,180889,7.48,27.44,3100.92,207422,22676.1,93.32,1
1716,包拯,428,11374,9,27,18,2018-09-17,80,10004132,491,11725,561,1,1,114302,244.92,514576,7.8,166,4463.44,593425,35551,88.4,1
1717,巴金,265,9934,7,21,5,2018-09-17,18,7794618,1041,43561,470,3,1,114319,17.88,511579,5.32,17.96,4627.84,590546,7137.96,84.04,1
